PROCESSID	TAXON	MARKER	GENBANK_ACCESSION	TRACEFILE
ABBAI1729-16	Glottidia	18S		ABBAI/0181851157-03F+1523017322.ab1
ABBAI1729-16	Glottidia	16S		ABBAI/0181851157-02F+1500090485.ab1
ABBAI1729-16	Glottidia	18S		ABBAI/0181851157-03R+1523017322.ab1
ABBAI1729-16	Glottidia	16S		ABBAI/0181851157-02R+1500044907.ab1
ABBAI1729-16	Glottidia	COI-5P		ABBAI/0181851157-01R+1424457074.ab1
ABBAI173-15	Discinidae	18S		ABBAI/0168843909-03R+1522263603.ab1
ABBAI173-15	Discinidae	18S		ABBAI/0168843909-03F+1522263603.ab1
ABBAI1843-16	Glottidia	16S		ABBAI/0174004727-02F+1500090485.ab1
ABBAI1843-16	Glottidia	COI-5P		ABBAI/0174004727-01F+1423507795.ab1
ABBAI1843-16	Glottidia	COI-5P		ABBAI/0174004727-01R+1473760260.ab1
ABBAI1843-16	Glottidia	18S		ABBAI/0174004727-03F+1523017322.ab1
ABBAI1843-16	Glottidia	18S		ABBAI/0174004727-03R+1523017322.ab1
ABBAI1918-16	Glottidia	16S		ABBAI/0174004786-02F+1500090485.ab1
ABBAI1918-16	Glottidia	COI-5P		ABBAI/0174004786-01F+1423507795.ab1
ABBAI1918-16	Glottidia	COI-5P		ABBAI/0174004786-01R+1473760260.ab1
ABBAI1918-16	Glottidia	18S		ABBAI/0174004786-03F+1523017322.ab1
ABBAI1918-16	Glottidia	18S		ABBAI/0174004786-03R+1523017322.ab1
ABBAI2686-17	Glottidia	COI-5P		ABBAI/0233139925-01R+1510025725.ab1
ABBAI2686-17	Glottidia	COI-5P		ABBAI/0233139925-01F+1510031182.ab1
ABBAI403-15	Glottidia	16S		ABBAI/0168843398-02R+1501512553.ab1
ABBAI403-15	Glottidia	16S		ABBAI/0168843398-02F+1501505081.ab1
ABBAI429-15	Discinidae	18S		ABBAI/0168843959-03R+1522263603.ab1
ABBAI429-15	Discinidae	18S		ABBAI/0168843959-03F+1522263603.ab1
ABBAI922-16	Discinidae	18S		ABBAI/0199442623-03F+1508965942.ab1
ABBAI922-16	Discinidae	18S		ABBAI/0199442623-03R+1508972485.ab1
ARCMI347-14	Hemithiris psittacea	COI-5P		ARCMI/ARCMI347-14[C_LepFolF,C_LepFolR]_R+1416558055.ab1
ARCMI347-14	Hemithiris psittacea	COI-5P		ARCMI/ARCMI347-14[C_LepFolF,C_LepFolR]_F+1416508026.ab1
CCSMA050-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA050-07[LCO1490_t1,HCO2198_t1]_R+1248800947.ab1
CCSMA050-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA050-07[LCO1490_t1,HCO2198_t1]_F+1248794777.ab1
CCSMA051-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA051-07[LCO1490_t1,HCO2198_t1]_R+1248800947.ab1
CCSMA051-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA051-07[LCO1490_t1,HCO2198_t1]_F+1248794777.ab1
CCSMA052-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA052-07[LCO1490_t1,HCO2198_t1]_R+1248800947.ab1
CCSMA052-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA052-07[LCO1490_t1,HCO2198_t1]_F+1248794777.ab1
CCSMA053-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA053-07[LCO1490_t1,HCO2198_t1]_F+1248794777.ab1
CCSMA053-07	Hemithiris psittacea	COI-5P		CCSMA/CCSMA053-07[LCO1490_t1,HCO2198_t1]_R+1248800947.ab1
DFO155-11	Terebratulida	COI-5P		DFO/DFO155-11[dgLCO-1490,dgHCO-2198]_F+1324570227.ab1
DFO155-11	Terebratulida	COI-5P		DFO/DFO155-11[dgLCO-1490,dgHCO-2198]_R+1324565062.ab1
DUTCH521-19	Hemithiris psittacea	COI-5P		DUTCH/H08_H08_DUT_1222_Hemithiris_psittacea_jgRev+1552938351.ab1
DUTCH521-19	Hemithiris psittacea	COI-5P		DUTCH/H08_H08_DUT_1222_Hemithiris_psittacea_jgFwd+1552943796.ab1
KANBI624-19	Lingula reevei	COI-5P		KANBI/BKON_0904_jgLCO1490_D08+1549313224.ab1
KANBI624-19	Lingula reevei	COI-5P		KANBI/BKON_0904_jgHCO2198_D08+1549318689.ab1
MXQCS038-08	Brachiopoda	COI-5P		MXQCS/MXQCS038-08[MLepF1,HCO2198_t1]_F+1258662343.ab1
MXQCS038-08	Brachiopoda	COI-5P		MXQCS/MXQCS038-08[MLepF1,HCO2198_t1]_R+1258665006.ab1
MXQCS050-08	Brachiopoda	COI-5P		MXQCS/MXQCS050-08[LCO1490_t1,MLepR1]_F+1258126791.ab1
MXQCS050-08	Brachiopoda	COI-5P		MXQCS/MXQCS050-08_R+1220695276.ab1
MXQCS050-08	Brachiopoda	COI-5P		MXQCS/MXQCS050-08_F+1220689803.ab1
MXQCS050-08	Brachiopoda	COI-5P		MXQCS/MXQCS050-08[LCO1490_t1,MLepR1]_R+1258130468.ab1
MXQCS058-08	Brachiopoda	COI-5P		MXQCS/MXQCS058-08[MLepF1,HCO2198_t1]_R+1258665006.ab1
MXQCS058-08	Brachiopoda	COI-5P		MXQCS/MXQCS058-08[LCO1490_t1,MLepR1]_R+1258130468.ab1
